ID,Program_Area,Program_Name,Fiscal_Year,Activity_Code,Grant_Number,Grantee_Name,State,County,Congressional_District,Grantee_Class,Awardee_Amount,Grantee_Contact_Details
2251,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2020,H61,H61MC00053,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",MT,Lewis and Clark,MT-00,U.S. Government Entity,235000,"2401 Colonial Dr  Helena, MT 59601-4980 "
2252,Maternal and Child Health,EMSC Partnership Grants,2020,H33,H33MC06692,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",MT,Lewis and Clark,MT-00,U.S. Government Entity,130000,"2401 Colonial Dr  Helena, MT 59601-4980 "
2253,Maternal and Child Health,Maternal and Child Health Services,2020,B04,B04MC33850,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",MT,Lewis and Clark,MT-00,U.S. Government Entity,2281823,"2401 Colonial Dr  Helena, MT 59601-4980 "
2254,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2020,X10,X10MC39698,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",MT,Lewis and Clark,MT-00,U.S. Government Entity,4379043,"2401 Colonial Dr  Helena, MT 59601-4980 "
2255,Maternal and Child Health,State Maternal Health Innovation Program,2020,U7A,U7AMC33718,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",MT,Lewis and Clark,MT-00,U.S. Government Entity,1831770,"2401 Colonial Dr  Helena, MT 59601-4980 "
2256,Maternal and Child Health,Screening and Treatment for Maternal Depression and Related Behavioral Disorders Program,2020,UK3,UK3MC32246,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",MT,Lewis and Clark,MT-00,U.S. Government Entity,650000,"2401 Colonial Dr  Helena, MT 59601-4980 "
2257,Maternal and Child Health,Family Professional Partnership/CSHCN,2020,H84,H84MC32752,University Of Montana,MT,Missoula,MT-00,U.S. Government Entity,96750,"32 Campus Dr Main Hall  Missoula, MT 59812-0001 "
2258,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2020,T73,T73MC00023,BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,NE,Douglas,NE-02,"Corporate Entity, Federal Tax Exempt",799244,"987835 Nebraska Medical Ctr  Omaha, NE 68198-7835 "
2259,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2020,H17,H17MC33891,"Oneworld Community Health Centers, Inc.",NE,Douglas,NE-02,"Corporate Entity, Federal Tax Exempt",50000,"4920 S 30th St Ste 103  Omaha, NE 68107-1656 "
2260,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2020,H49,H49MC00156,"Charles Drew Health Center, Inc.",NE,Douglas,NE-02,"Corporate Entity, Federal Tax Exempt",1144121,"2915 Grant St  Omaha, NE 68111-3863 "
2261,Maternal and Child Health,Partnership for MCH Leadership Community,2020,U01,U01MC17261,BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,NE,Douglas,NE-02,"Corporate Entity, Federal Tax Exempt",700000,"987835 Nebraska Medical Ctr  Omaha, NE 68198-7835 "
2262,Maternal and Child Health,Family Professional Partnership/CSHCN,2020,H84,H84MC08009,P.T.I. NEBRASKA,NE,Douglas,NE-02,"Corporate Entity, Not Federal Tax Exempt",96750,"1941 S 42nd St Ste 205  Omaha, NE 68105-2938 "
2263,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2020,X10,X10MC39699,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",NE,Lancaster,NE-01,U.S. Government Entity,1258476,"301 Centennial Mall S Fl s-3rd  Lincoln, NE 68508-2529 "
2264,Maternal and Child Health,Pediatric Mental Health Care Access Program,2020,U4C,U4CMC32322,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",NE,Lancaster,NE-01,U.S. Government Entity,445000,"301 Centennial Mall S Fl s-3rd  Lincoln, NE 68508-2529 "
2265,Maternal and Child Health,EMSC Partnership Grants,2020,H33,H33MC07876,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",NE,Lancaster,NE-01,U.S. Government Entity,130000,"301 Centennial Mall S Fl s-3rd  Lincoln, NE 68508-2529 "
2266,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2020,H61,H61MC00065,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",NE,Lancaster,NE-01,U.S. Government Entity,245000,"301 Centennial Mall S Fl s-3rd  Lincoln, NE 68508-2529 "
2267,Maternal and Child Health,Maternal and Child Health Services,2020,B04,B04MC33851,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",NE,Lancaster,NE-01,U.S. Government Entity,4029980,"301 Centennial Mall S Fl s-3rd  Lincoln, NE 68508-2529 "
2268,Maternal and Child Health,MCHB State Systems Development Initiative,2020,H18,H18MC00031,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",NE,Lancaster,NE-01,U.S. Government Entity,100000,"301 Centennial Mall S Fl s-3rd  Lincoln, NE 68508-2529 "
2269,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2020,H17,H17MC31606,Nevada Primary Care Association,NV,Carson City,NV-02,"Corporate Entity, Federal Tax Exempt",50000,"755 N Roop St Ste 211  Carson City, NV 89701-3198 "
2270,Maternal and Child Health,EMSC Partnership Grants,2020,H33,H33MC06694,"HEALTH AND HUMAN SERVICES, NEVADA DEPARTMENT OF",NV,Carson City,NV-02,U.S. Government Entity,130000,"4150 Technology Way  Carson City, NV 89706-2026 "
2271,Maternal and Child Health,MCHB State Systems Development Initiative,2020,H18,H18MC00032,"HEALTH AND HUMAN SERVICES, NEVADA DEPARTMENT OF",NV,Carson City,NV-02,U.S. Government Entity,46291,"4150 Technology Way  Carson City, NV 89706-2026 "
2272,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2020,X10,X10MC39700,"HEALTH AND HUMAN SERVICES, NEVADA DEPARTMENT OF",NV,Carson City,NV-02,U.S. Government Entity,1978941,"4150 Technology Way  Carson City, NV 89706-2026 "
2273,Maternal and Child Health,Pediatric Mental Health Care Access Program,2020,U4C,U4CMC32318,Division of Child & Family Services,NV,Carson City,NV-02,U.S. Government Entity,425808,"4126 Technology Way Fl 3  Carson City, NV 89706-2023 "
2274,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2020,H61,H61MC25010,"HEALTH AND HUMAN SERVICES, NEVADA DEPARTMENT OF",NV,Carson City,NV-02,U.S. Government Entity,245000,"4150 Technology Way  Carson City, NV 89706-2026 "
2275,Maternal and Child Health,Maternal and Child Health Services,2020,B04,B04MC33852,"HEALTH AND HUMAN SERVICES, NEVADA DEPARTMENT OF",NV,Carson City,NV-02,U.S. Government Entity,2141666,"4150 Technology Way  Carson City, NV 89706-2026 "
2276,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2020,H17,H17MC29434,Foundation For Positively Kids,NV,Clark,NV-01,"Corporate Entity, Federal Tax Exempt",49635,"2480 E Tompkins Ave Ste 222  Las Vegas, NV 89121-7625 "
2277,Maternal and Child Health,Family Professional Partnership/CSHCN,2020,H84,H84MC08001,Family TIES of Nevada Inc,NV,Washoe,NV-02,"Corporate Entity, Federal Tax Exempt",96750,"3710 Grant Dr Ste B  Reno, NV 89509-5317 "
2278,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2020,T73,T73MC19940,Nevada System of Higher Education,NV,Washoe,NV-02,U.S. Government Entity,598905,"1664 N Virginia St  Reno, NV 89557-0001 "
2279,Maternal and Child Health,EMSC Partnership Grants,2020,H33,H33MC32395,Mary Hitchcock Memorial Hospital,NH,Grafton,NH-02,"Corporate Entity, Federal Tax Exempt",130000,"1 Medical Center Dr  Lebanon, NH 03756-1000 "
2280,Maternal and Child Health,Family Professional Partnership/CSHCN,2020,H84,H84MC09488,New Hampshire Coalition For Citizens With Disabilities (Inc),NH,Merrimack,NH-02,"Corporate Entity, Federal Tax Exempt",96750,"54 Old Suncook Rd  Concord, NH 03301-7317 "
2281,Maternal and Child Health,Maternal and Child Health Services,2020,B04,B04MC33853,"HEALTH AND HUMAN SERVICES, NEW HAMPSHIRE DEPT OF",NH,Merrimack,NH-02,U.S. Government Entity,1956319,"129 Pleasant St  Concord, NH 03301-3852 "
2282,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2020,X10,X10MC39701,"HEALTH AND HUMAN SERVICES, NEW HAMPSHIRE DEPT OF",NH,Merrimack,NH-02,U.S. Government Entity,3019276,"129 Pleasant St  Concord, NH 03301-3852 "
2283,Maternal and Child Health,Pediatric Mental Health Care Access Program,2020,U4C,U4CMC32316,"HEALTH AND HUMAN SERVICES, NEW HAMPSHIRE DEPT OF",NH,Merrimack,NH-02,U.S. Government Entity,445000,"129 Pleasant St  Concord, NH 03301-3852 "
2284,Maternal and Child Health,MCHB State Systems Development Initiative,2020,H18,H18MC00033,"HEALTH AND HUMAN SERVICES, NEW HAMPSHIRE DEPT OF",NH,Merrimack,NH-02,U.S. Government Entity,93211,"129 Pleasant St  Concord, NH 03301-3852 "
2285,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2020,H61,H61MC00034,"HEALTH AND HUMAN SERVICES, NEW HAMPSHIRE DEPT OF",NH,Merrimack,NH-02,U.S. Government Entity,167331,"129 Pleasant St  Concord, NH 03301-3852 "
2286,Maternal and Child Health,Regional Genetics Networks,2020,UH7,UH7MC30778,University System Of New Hampshire,NH,Strafford,NH-01,"Corporate Entity, Federal Tax Exempt",600000,"51 College Rd  Durham, NH 03824-2620 "
2287,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2020,T73,T73MC33246,University System Of New Hampshire,NH,Strafford,NH-01,"Corporate Entity, Federal Tax Exempt",800000,"51 College Rd  Durham, NH 03824-2620 "
2288,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2020,H49,H49MC00142,So NJ Perinatal Cooperative Inc,NJ,Camden,NJ-01,"Corporate Entity, Federal Tax Exempt",1144121,"2500 Mcclellan Ave Ste 250  Pennsauken, NJ 08109-4653 "
2289,Maternal and Child Health,Family Professional Partnership/CSHCN,2020,H84,H84MC07997,"STATEWIDE PARENT ADVOCACY NETWORK, INC",NJ,Essex,NJ-10,"Corporate Entity, Federal Tax Exempt",96750,"35 Halsey St Ste 4  Newark, NJ 07102-3000 "
2290,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2020,H49,H49MC27814,"Newark Community Health Centers, Inc.",NJ,Essex,NJ-08,"Corporate Entity, Federal Tax Exempt",1144121,"741 Broadway  Newark, NJ 07104-4309 "
2291,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2020,H17,H17MC30732,"Henry J. Austin Health Center, Inc.",NJ,Mercer,NJ-12,"Corporate Entity, Federal Tax Exempt",50000,"321 N Warren St  Trenton, NJ 08618-4741 "
2292,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2020,H49,H49MC07888,"Children's Futures, Inc",NJ,Mercer,NJ-12,"Corporate Entity, Federal Tax Exempt",1144121,"16 W Front St # 220  Trenton, NJ 08608-2010 "
2293,Maternal and Child Health,Maternal and Child Health Services,2020,B04,B04MC33854,"Health, New Jersey Department of",NJ,Mercer,NJ-12,U.S. Government Entity,11679835,"369 S Warren St  Trenton, NJ 08608-2308 "
2294,Maternal and Child Health,EMSC Partnership Grants,2020,H33,H33MC06718,"Health, New Jersey Department of",NJ,Mercer,NJ-12,U.S. Government Entity,130000,"369 S Warren St  Trenton, NJ 08608-2308 "
2295,Maternal and Child Health,Early Childhood Comprehensive Systems Impact,2020,H25,H25MC26232,EXECUTIVE OFFICE OF THE STATE OF NEW JERSEY,NJ,Mercer,NJ-12,U.S. Government Entity,426600,"50 E State St  Trenton, NJ 08608-1715 "
2296,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2020,X10,X10MC39702,"Health, New Jersey Department of",NJ,Mercer,NJ-12,U.S. Government Entity,10559215,"369 S Warren St  Trenton, NJ 08608-2308 "
2297,Maternal and Child Health,Pediatric Mental Health Care Access Program,2020,U4C,U4CMC32317,"Health, New Jersey Department of",NJ,Mercer,NJ-12,U.S. Government Entity,445000,"369 S Warren St  Trenton, NJ 08608-2308 "
2298,Maternal and Child Health,MCHB State Systems Development Initiative,2020,H18,H18MC00034,"Health, New Jersey Department of",NJ,Mercer,NJ-12,U.S. Government Entity,100000,"369 S Warren St  Trenton, NJ 08608-2308 "
2299,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2020,H61,H61MC23641,"Health, New Jersey Department of",NJ,Mercer,NJ-12,U.S. Government Entity,232800,"369 S Warren St  Trenton, NJ 08608-2308 "
2300,Maternal and Child Health,State Maternal Health Innovation Program,2020,U7A,U7AMC33715,"Health, New Jersey Department of",NJ,Mercer,NJ-12,U.S. Government Entity,2010055,"369 S Warren St  Trenton, NJ 08608-2308 "
2301,Maternal and Child Health,Measurement Research Network,2020,U3D,U3DMC32755,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",NJ,Middlesex,NJ-06,"Corporate Entity, Federal Tax Exempt",301000,"675 Hoes Ln W  Piscataway, NJ 08854-8021 "
2302,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2020,T73,T73MC30120,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",NJ,Middlesex,NJ-06,"Corporate Entity, Federal Tax Exempt",500000,"675 Hoes Ln W  Piscataway, NJ 08854-8021 "
2303,Maternal and Child Health,Telehealth for Family Engagement,2020,H7B,H7BMC37563,Family Voices Inc,NM,Bernalillo,NM-01,"Corporate Entity, Federal Tax Exempt",1000000,"3701 San Mateo Blvd NE Ste 103  Albuquerque, NM 87110-1249 "
2304,Maternal and Child Health,Family Professional Partnership/CSHCN,2020,H84,H84MC08007,Parents Reaching Out To Help Incorporated,NM,Bernalillo,NM-01,"Corporate Entity, Federal Tax Exempt",96750,"2501 Yale Blvd SE Ste 200  Albuquerque, NM 87106-4357 "
2305,Maternal and Child Health,Family/Professional Partnership/ CSHCN,2020,U40,U40MC00149,Family Voices Inc,NM,Bernalillo,NM-01,"Corporate Entity, Federal Tax Exempt",600000,"3701 San Mateo Blvd NE Ste 103  Albuquerque, NM 87110-1249 "
2306,Maternal and Child Health,Family Professional Partnership/CSHCN,2020,H84,H84MC32236,Parents Reaching Out To Help Incorporated,NM,Bernalillo,NM-01,"Corporate Entity, Federal Tax Exempt",96750,"2501 Yale Blvd SE Ste 200  Albuquerque, NM 87106-4357 "
2307,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2020,T73,T73MC00025,"University Of New Mexico, The",NM,Bernalillo,NM-01,Other,699000,"1700 Lomas Blvd NE Ste 2200  Albuquerque, NM 87106-3837 "
2308,Maternal and Child Health,EMSC Partnership Grants,2020,H33,H33MC07873,UNIVERSITY OF NEW MEXICO,NM,Bernalillo,NM-01,U.S. Government Entity,130000,"2500 Marble Dr NE  Albuquerque, NM 87131-0001 "
2309,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2020,H17,H17MC31607,"CLINICA DE FAMILIA INC, LA",NM,Dona Ana,NM-02,"Corporate Entity, Federal Tax Exempt",50000,"385 Calle De Alegra Ste A  Las Cruces, NM 88005-3423 "
2310,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2020,H49,H49MC28140,"Ben Archer Health Center, Inc.",NM,Dona Ana,NM-02,"Corporate Entity, Federal Tax Exempt",1144121,"255 Highway 187  Hatch, NM 87937-7001 "
2311,Maternal and Child Health,Family Professional Partnership/CSHCN,2020,H84,H84MC32234,Indian Country Grassroots Support,NM,San Juan,NM-03,"Corporate Entity, Federal Tax Exempt",96750,"913 N Orchard Ave  Farmington, NM 87401-6099 "
2312,Maternal and Child Health,MCHB State Systems Development Initiative,2020,H18,H18MC00035,"HEALTH, NEW MEXICO DEPARTMENT OF",NM,Santa Fe,NM-03,U.S. Government Entity,95900,"1190 S Saint Francis Dr # N4100  Santa Fe, NM 87505-4173 "
2313,Maternal and Child Health,Maternal and Child Health Services,2020,B04,B04MC33855,"Health, New Mexico Department Of",NM,Santa Fe,NM-03,U.S. Government Entity,4188189,"1190 S Saint Francis Dr  Santa Fe, NM 87505-4173 "
2314,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2020,X10,X10MC39703,"Children, Youth And Families, New Mexico Department Of",NM,Santa Fe,NM-03,U.S. Government Entity,3494808,"1120 Paseo De Peralta Ste 559  Santa Fe, NM 87501-2747 "
2315,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2020,H61,H61MC04397,"HEALTH, NEW MEXICO DEPARTMENT OF",NM,Santa Fe,NM-03,U.S. Government Entity,244219,"1190 S Saint Francis Dr # N4100  Santa Fe, NM 87505-4173 "
2316,Maternal and Child Health,MCHB State Systems Development Initiative,2020,H18,H18MC00036,"HEALTH RESEARCH, INC.",NY,Albany,NY-20,"Corporate Entity, Federal Tax Exempt",100000,"150 Broadway Ste 560  Menands, NY 12204-2726 "
2317,Maternal and Child Health,EMSC Partnership Grants,2020,H33,H33MC06724,"HEALTH RESEARCH, INC.",NY,Albany,NY-20,"Corporate Entity, Federal Tax Exempt",130000,"150 Broadway Ste 560  Menands, NY 12204-2726 "
2318,Maternal and Child Health,Maternal and Child Health Public Health Catalyst Program,2020,T1C,T1CMC35357,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",NY,Albany,NY-20,"Corporate Entity, Federal Tax Exempt",89792,"1400 Washington Ave  Albany, NY 12222-0100 "
2319,Maternal and Child Health,Regional Genetics Networks,2020,UH7,UH7MC30773,"HEALTH RESEARCH, INC.",NY,Albany,NY-20,"Corporate Entity, Federal Tax Exempt",594118,"150 Broadway Ste 560  Menands, NY 12204-2726 "
2320,Maternal and Child Health,Newborn Screening State Evaluation Program,2020,E16,E16MC33248,"HEALTH RESEARCH, INC.",NY,Albany,NY-20,"Corporate Entity, Federal Tax Exempt",150000,"State St  Albany, NY 12210 "
2321,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2020,H61,H61MC00005,"HEALTH RESEARCH, INC.",NY,Albany,NY-20,"Corporate Entity, Federal Tax Exempt",84035,"150 Broadway Ste 560  Menands, NY 12204-2726 "
2322,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2020,X10,X10MC39704,"HEALTH, NEW YORK DEPARTMENT OF",NY,Albany,NY-20,U.S. Government Entity,8408073,"State St  Albany, NY 12210 "
2323,Maternal and Child Health,Maternal and Child Health Services,2020,B04,B04MC33856,"HEALTH, NEW YORK DEPARTMENT OF",NY,Albany,NY-20,U.S. Government Entity,38406749,"State St  Albany, NY 12210 "
2324,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program,2020,T77,T77MC33158,Albert Einstein College Of Medicine,NY,Bronx,NY-14,"Corporate Entity, Federal Tax Exempt",218974,"1300 Morris Park Ave  Bronx, NY 10461-1900 "
2325,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2020,H17,H17MC33892,MONTEFIORE MEDICAL CENTER,NY,Bronx,NY-13,"Corporate Entity, Federal Tax Exempt",50000,"111 E 210th St  Bronx, NY 10467-2401 "
2326,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2020,H49,H49MC33241,Albert Einstein College Of Medicine,NY,Bronx,NY-14,"Corporate Entity, Federal Tax Exempt",1144120,"1300 Morris Park Ave  Bronx, NY 10461-1900 "
2327,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2020,T73,T73MC33228,Albert Einstein College Of Medicine,NY,Bronx,NY-14,"Corporate Entity, Federal Tax Exempt",867998,"1300 Morris Park Ave  Bronx, NY 10461-1900 "
2328,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2020,H17,H17MC29435,MONTEFIORE MEDICAL CENTER,NY,Bronx,NY-13,"Corporate Entity, Federal Tax Exempt",50000,"111 E 210th St  Bronx, NY 10467-2401 "
2329,Maternal and Child Health,Pediatric Emergency Care Applied Research Network (PECARN),2020,U03,U03MC33154,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",NY,Erie,NY-26,"Corporate Entity, Federal Tax Exempt",749989,"520 Lee Entrance Ste 211  Amherst, NY 14228-2577 "
2330,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2020,H17,H17MC32707,Maimonides Medical Center,NY,Kings,NY-10,"Corporate Entity, Federal Tax Exempt",50000,"4802 10th Ave  Brooklyn, NY 11219-2999 "
2331,Maternal and Child Health,Comprehensive Hemophilia Diagnostic and Treatment Centers,2020,UC8,UC8MC24079,"American Thrombosis And Hemostasis Network, Inc.",NY,Monroe,NY-25,"Corporate Entity, Federal Tax Exempt",800000,"67 Red Rock Cir  Rochester, NY 14626-3179 "
2332,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2020,T73,T73MC00029,University of Rochester,NY,Monroe,NY-25,"Corporate Entity, Federal Tax Exempt",699000,"500 Joseph C Wilson Blvd  Rochester, NY 14627-0001 "
2333,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2020,H49,H49MC00134,"NORTHERN MANHATTAN PERINATAL PARTNERSHIP, INC.",NY,New York,NY-13,"Corporate Entity, Federal Tax Exempt",1144121,"127 W 127th St  New York, NY 10027-3723 "
2334,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2020,H49,H49MC04479,"Fund For Public Health In New York, Inc.",NY,New York,NY-10,"Corporate Entity, Federal Tax Exempt",1118137,"22 Cortlandt St Rm 802  New York, NY 10007-3160 "
2335,Maternal and Child Health,Hemophilia Treatment Centers (SPRANS),2020,H30,H30MC24048,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,New York,NY-13,"Corporate Entity, Federal Tax Exempt",500000,"1 Gustave L Levy Pl  New York, NY 10029-6504 "
2336,Maternal and Child Health,Pediatric Emergency Care Applied Research Network (PECARN),2020,U03,U03MC00007,"Trustees of Columbia University In The City of New York, The",NY,New York,NY-10,"Corporate Entity, Federal Tax Exempt",700000,"W 116th St & Broadway  New York, NY 10027 "
2337,Maternal and Child Health,Maternal and Child Health Field-Initiated Research Program,2020,R40,R40MC37540,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,New York,NY-13,"Corporate Entity, Federal Tax Exempt",100000,"1 Gustave L Levy Pl  New York, NY 10029-6504 "
2338,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2020,H17,H17MC32708,"NEW YORK AND PRESBYTERIAN HOSPITAL, THE",NY,New York,NY-12,"Corporate Entity, Federal Tax Exempt",49999,"525 E 68th St  New York, NY 10065-4870 "
2339,Maternal and Child Health,Thalassemia,2020,U1A,U1AMC28551,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,NY,New York,NY-12,"Corporate Entity, Federal Tax Exempt",200000,"407 E 61st St  New York, NY 10065-8736 "
2340,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2020,H17,H17MC30733,"NEW YORK AND PRESBYTERIAN HOSPITAL, THE",NY,New York,NY-12,"Corporate Entity, Federal Tax Exempt",50000,"525 E 68th St  New York, NY 10065-4870 "
2341,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2020,H49,H49MC27821,Public Health Solutions,NY,New York,NY-10,"Corporate Entity, Federal Tax Exempt",1144121,"40 Worth St Fl 5  New York, NY 10013-2955 "
2342,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2020,H49,H49MC00067,"ONONDAGA, COUNTY OF",NY,Onondaga,NY-24,U.S. Government Entity,980000,"421 Montgomery St Ste 400  Syracuse, NY 13202-2960 "
2343,Maternal and Child Health,Early Childhood Comprehensive Systems Impact,2020,H25,H25MC12970,"CHILDREN & FAMILY SERVICES, NEW YORK OFFICE OF",NY,Rensselaer,NY-20,U.S. Government Entity,426600,"52 Washington St  Rensselaer, NY 12144-2834 "
2344,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2020,H49,H49MC27812,"COMMUNITY HEALTH CENTER OF RICHMOND, INC.",NY,Richmond,NY-11,"Corporate Entity, Federal Tax Exempt",1144121,"235 Port Richmond Ave  Staten Island, NY 10302-1701 "
2345,Maternal and Child Health,Family Professional Partnership/CSHCN,2020,H84,H84MC08006,PARENT TO PARENT OF NEW YORK STATE,NY,Schenectady,NY-20,"Corporate Entity, Federal Tax Exempt",96750,"500 Balltown Rd  Schenectady, NY 12304-2247 "
2346,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2020,T73,T73MC29073,Westchester Institute For Human Development,NY,Westchester,NY-17,"Corporate Entity, Federal Tax Exempt",699999,"326 CEDARWOOD HALL  Valhalla, NY 10595 "
2347,Maternal and Child Health,Networks for Oral Health Integration within the Maternal and Child Health Safety Net,2020,UK7,UK7MC33231,"HEALTH CENTER NETWORK OF NEW YORK, INC.",NY,Westchester,NY-17,"Corporate Entity, Federal Tax Exempt",1173021,"165 Main St  Ossining, NY 10562-4702 "
2348,Maternal and Child Health,Maternal and Child Health Field-Initiated Research Program,2020,R40,R40MC32754,Wake Forest University Health Sciences,NC,Forsyth,NC-05,"Corporate Entity, Federal Tax Exempt",299997,"Medical Center Blvd  Winston Salem, NC 27157 "
2349,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2020,H49,H49MC32721,PIEDMONT HEALTH SERVICES AND SICKLE CELL AGENCY,NC,Guilford,NC-13,Other,1144121,"1102 E Market St  Greensboro, NC 27401-6056 "
2350,Maternal and Child Health,Sickle Cell Treatment Demonstration Program,2020,U1E,U1EMC31108,"Charlotte-Mecklenburg Hospital Authority, The",NC,Mecklenburg,NC-12,"Corporate Entity, Federal Tax Exempt",1297000,"1000 Blythe Blvd  Charlotte, NC 28203-5812 "
2351,Maternal and Child Health,State Maternal Health Innovation Support and Implementation Program,2020,U7C,U7CMC33636,University of North Carolina at Chapel Hill,NC,Orange,NC-04,Other,2600000,"104 Airport Dr Ste 2200  Chapel Hill, NC 27599-5023 "
2352,Maternal and Child Health,EMSC Targeted Issue Grants,2020,H34,H34MC30234,University of North Carolina at Chapel Hill,NC,Orange,NC-04,Other,324822,"104 Airport Dr Ste 2200  Chapel Hill, NC 27599-5023 "
2353,Maternal and Child Health,Autism Secondary Data Analysis Research (SDAR) Program,2020,R41,R41MC39339,University of North Carolina at Chapel Hill,NC,Orange,NC-04,Other,95760,"104 Airport Dr Ste 2200  Chapel Hill, NC 27599-5023 "
2354,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2020,T73,T73MC00030,University of North Carolina at Chapel Hill,NC,Orange,NC-04,Other,880000,"104 Airport Dr Ste 2200  Chapel Hill, NC 27599-5023 "
2355,Maternal and Child Health,State Implementation Grants for Improving Services for Children and Youth with ASD,2020,H6M,H6MMC33235,University of North Carolina at Chapel Hill,NC,Orange,NC-04,Other,366316,"104 Airport Dr Ste 2200  Chapel Hill, NC 27599-5023 "
2356,Maternal and Child Health,Supporting Providers and Families to Access Telehealth and Distant Care Services for Maternal Health,2020,H7E,H7EMC37564,University of North Carolina at Chapel Hill,NC,Orange,NC-04,Other,4000000,"104 Airport Dr Ste 2200  Chapel Hill, NC 27599-5023 "
