Award_Year,Grantee_Name,Grantee_Address,Grantee_City,Grantee_State_Abbreviation,Grantee_ZIP_Code,Grant_Activity_Code,Grant_Number,Grant_Serial_Number,Project_Period_Start_Date,Grant_Project_Period_End_Date,HRSA_Program_Area_Code,HRSA_Program_Area_Name,Grant_Program_Name,US_Congressional_Representative_Name,Complete_County_Name,Name_of_US_Senator_Number_One,Name_of_US_Senator_Number_Two,Data_Warehouse_Record_Create_Date,Grantee_Type_Description,DUNS_Number,Geocoding_Artifact_Address_Primary_X_Coordinate,Geocoding_Artifact_Address_Primary_Y_Coordinate
2023,MUSCOGEE CREEK NATION,1008 E Eufaula St,Okmulgee,OK,74447-7939,H84,H84MC45667,45667,2022/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Josh Brecheen,Okmulgee County,James Lankford,Markwayne Mullin,2024/11/04,Other,72406150.0,-95.96113167,35.6389617
2023,UNIVERSITY OF MONTANA,32 Campus Drive,Missoula,MT,59812,UM2,UM2MC45792,45792,2022/08/01,2027/07/31,MCHB,Maternal and Child Health,Enhancing Systems of Care for Children with Medical Complexity (UM2),Ryan K. Zinke,Missoula County,Jon Tester,Steve Daines,2024/11/04,U.S. Government Entity,10379790.0,-113.98106541,46.86038749
2023,"University of Kentucky Research Foundation, The",500 S Limestone 109 Kinkead Hall,Lexington,KY,40526-0001,T73,T73MC42028,42028,2021/07/01,2026/06/30,MCHB,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),Andy Barr,Fayette County,Mitch McConnell,Rand Paul,2024/11/04,"Corporate Entity, Federal Tax Exempt",939017877.0,-84.50640817,38.03943085
2023,Division of Child and Family Services,4126 Technology Way,Carson City,NV,89706-2066,U2Z,U2ZMC46636,46636,2022/09/30,2027/09/29,MCHB,Maternal and Child Health,Infant-Toddler Court Program (U2Z),Mark E. Amodei,Carson City,Catherine Cortez Masto,Jacky Rosen,2024/11/04,U.S. Government Entity,607025772.0,-119.7247732,39.19567247
2023,HEMOPHILIA FOUNDATION OF MICHIGAN,1921 W Michigan Ave,Ypsilanti,MI,48197-4816,H30,H30MC24047,24047,2012/06/01,2027/05/31,MCHB,Maternal and Child Health,Hemophilia Treatment Centers (SPRANS) (H30),Debbie Dingell,Washtenaw County,Debbie Stabenow,Gary C. Peters,2024/11/04,"Corporate Entity, Federal Tax Exempt",968738831.0,-83.64054885,42.22975873
2023,UNIVERSITY OF NEW MEXICO,1 UNIVERSITY OF NEW MEXICO SPONSORED PROJECTS OFFICE,Albuquerque,NM,87131-0001,H33,H33MC07873,7873,2007/03/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),Melanie A. Stansbury,Bernalillo County,Martin Heinrich,Ben Ray Luján,2024/11/04,U.S. Government Entity,829868723.0,-106.62022297,35.08961799
2023,HEALTH SERVICES KENTUCKY CABINET FOR,275 E Main St,Frankfort,KY,40601-2321,A30,A30MC49986,49986,2023/09/01,2027/08/31,MCHB,Maternal and Child Health,Alliance for Innovation on Maternal Health (AIM) Capacity (A30),James Comer,Franklin County,Mitch McConnell,Rand Paul,2024/11/04,U.S. Government Entity,927049767.0,-84.86175845,38.19821996
2023,STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SERVICES,101 Blair Dr,Raleigh,NC,27603-2040,H4N,H4NMC49272,49272,2023/07/01,2028/06/30,MCHB,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),Deborah K. Ross,Wake County,Thom Tillis,Ted Budd,2024/11/04,U.S. Government Entity,809785363.0,-78.66243496,35.77153141
2023,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",9500 Gilman Dr,La Jolla,CA,92093-5004,T77,T77MC49100,49100,2023/07/01,2028/06/30,MCHB,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program (T77),Scott H. Peters,San Diego County,Alex Padilla,Laphonza R. Butler,2024/11/04,"Corporate Entity, Federal Tax Exempt",804355790.0,-117.23924135,32.8759077
2023,THE CURATORS OF THE UNIVERSITY OF MISSOURI,118 University Hall,Columbia,MO,65211-3020,H84,H84MC09484,9484,2008/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Blaine Luetkemeyer,Boone County,Josh Hawley,Eric Schmitt,2024/11/04,"Corporate Entity, Federal Tax Exempt",10989619.0,-92.34308208,38.9373614
2023,EMORY UNIVERSITY,201 Dowman Dr NE,Atlanta,GA,30322-1007,U03,U03MC49671,49671,2023/09/01,2027/08/31,MCHB,Maternal and Child Health,Pediatric Emergency Care Applied Research Network (PECARN) (U03),Nikema Williams,DeKalb County,Jon Ossoff,Raphael G. Warnock,2024/11/04,"Corporate Entity, Federal Tax Exempt",66469933.0,-84.3257608,33.78995181
2023,ILLINOIS DEPARTMENT OF HUMAN SERVICE,100 South Grand Ave E,Springfield,IL,62704-3802,U7E,U7EMC42158,42158,2021/08/01,2026/07/31,MCHB,Maternal and Child Health,Early Childhood Comprehensive Systems: Health Integration Prenatal to Three Program (U7E),Nikki Budzinski,Sangamon County,Richard J. Durbin,Tammy Duckworth,2024/11/04,U.S. Government Entity,67919071.0,-89.65382878,39.78700099
2023,"SICKLE CELL ANEMIA FOUNDATION OF OREGON, INC.",4566 NE 87th Ave,Portland,OR,97220-4801,D1J,D1JMC42476,42476,2021/09/01,2026/08/31,MCHB,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),Earl Blumenauer,Multnomah County,Ron Wyden,Jeff Merkley,2024/11/04,"Corporate Entity, Federal Tax Exempt",17284767.0,-122.57366868,45.55636888
2023,"ORGANIZATION OF TERATOLOGY INFORMATION SPECIALISTS, NFP",5034 Thoroughbred Ln,Brentwood,TN,37027-4231,UG4,UG4MC27861,27861,2014/09/01,2027/08/31,MCHB,Maternal and Child Health,Maternal and Child Environmental Health Network (UG4),Andrew Ogles,Davidson County,Marsha Blackburn,Bill Hagerty,2024/11/04,Other,143365273.0,-86.79226104,36.03684656
2023,"DELTA HEALTH ALLIANCE, INC.",435 Stoneville Rd,Leland,MS,38756-9569,H49,H49MC27819,27819,2014/09/01,2029/03/31,MCHB,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),Bennie G. Thompson,Washington County,Roger F. Wicker,Cindy Hyde-Smith,2024/11/04,"Corporate Entity, Federal Tax Exempt",148085868.0,-90.90694455,33.42207099
2023,KANSAS DEPARTMENT OF HEALTH & ENVIRONMENT,1000 SW Jackson St STE 570,Topeka,KS,66612-1371,U7A,U7AMC50508,50508,2023/09/30,2028/09/29,MCHB,Maternal and Child Health,State Maternal Health Innovation Program (U7A),Jake LaTurner,Shawnee County,Jerry Moran,Roger Marshall,2024/11/04,U.S. Government Entity,175941483.0,-95.67752943,39.04561281
2023,FAMILIES HELPING FAMILIES BAYOU LAN,286 Highway 3185 Lot 7,Thibodaux,LA,70301-7466,H84,H84MC08043,8043,2007/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Garret Graves,Terrebonne Parish,Bill Cassidy,John Kennedy,2024/11/04,"Corporate Entity, Not Federal Tax Exempt",946517182.0,-90.82399276,29.76018158
2023,"Health And Human Services, Maine Department Of",11 State House Sta,Augusta,ME,04333-0011,U7E,U7EMC42160,42160,2021/08/01,2026/07/31,MCHB,Maternal and Child Health,Early Childhood Comprehensive Systems: Health Integration Prenatal to Three Program (U7E),Jared F. Golden,Kennebec County,Susan M. Collins,"Angus S., Jr. King",2024/11/04,U.S. Government Entity,809045594.0,-69.77493145,44.32007202
2023,CHILDRENS HOSPITAL MEDICAL CENTER,3333 Burnet Ave,Cincinnati,OH,45229-3026,U03,U03MC22684,22684,2011/09/01,2027/08/31,MCHB,Maternal and Child Health,Pediatric Emergency Care Applied Research Network (PECARN) (U03),Greg Landsman,Hamilton County,Sherrod Brown,J. D. Vance,2024/11/04,"Corporate Entity, Federal Tax Exempt",71284913.0,-84.50043304,39.14091425
2023,"PUBLIC HEALTH, MASSACHUSETTS DEPARTMENT OF",250 Washington Street,Boston,MA,02108-4619,H33,H33MC06721,6721,2006/03/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),Stephen F. Lynch,Suffolk County,Elizabeth Warren,Edward J. Markey,2024/11/04,U.S. Government Entity,878298900.0,-71.05787846,42.35814593
2023,"Children's Hospital Corporation, The",300 Longwood Avenue,Boston,MA,02115,T71,T71MC00009,9,1992/09/01,2027/06/30,MCHB,Maternal and Child Health,Leadership Education  in Adolescent Health (LEAH) (T71),Ayanna Pressley,Suffolk County,Elizabeth Warren,Edward J. Markey,2024/11/04,"Corporate Entity, Federal Tax Exempt",76593722.0,-71.10527527,42.33779257
2023,Louisiana State University Health Sciences Center New Orleans,433 Bolivar St RM 619,New Orleans,LA,70112-7021,T73,T73MC30117,30117,2016/07/01,2026/06/30,MCHB,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),Troy A. Carter,Orleans Parish,Bill Cassidy,John Kennedy,2024/11/04,U.S. Government Entity,782627814.0,-90.08301986,29.95722571
2023,"FLORIDA ASSOCIATION OF HEALTHY START COALITIONS, INC.",2002 Old Saint Augustine Rd STE E45,Tallahassee,FL,32301-4874,U7E,U7EMC42155,42155,2021/08/01,2026/07/31,MCHB,Maternal and Child Health,Early Childhood Comprehensive Systems: Health Integration Prenatal to Three Program (U7E),Neal P. Dunn,Leon County,Marco Rubio,Rick Scott,2024/11/04,"Corporate Entity, Federal Tax Exempt",796315971.0,-84.24661024,30.42610103
2023,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,2414 Bull St,Columbia,SC,29201-1906,U4A,U4AMC44251,44251,2021/09/30,2026/09/29,MCHB,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),James E. Clyburn,Richland County,Lindsey Graham,Tim Scott,2024/11/04,U.S. Government Entity,43980093.0,-81.03602183,34.01949455
2023,MONTEFIORE MEDICAL CENTER,111 E 210th St,Bronx,NY,10467-2401,H17,H17MC33892,33892,2020/03/01,2025/02/28,MCHB,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),Ritchie Torres,Bronx County,Charles E. Schumer,Kirsten E. Gillibrand,2024/11/04,"Corporate Entity, Federal Tax Exempt",41581026.0,-73.87989636,40.87987216
2023,DEPARTMENT OF PUBLIC HEALTH AND SOCIAL SERVICES,123 Chalan Kareta,Mangilao,GU,96913,H84,H84MC32235,32235,2018/09/30,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),James C. Moylan,Guam,Not Determined,Not Determined,2024/11/04,U.S. Government Entity,855028700.0,144.79621177,13.43937243
2023,GEORGE WASHINGTON UNIVERSITY (THE),1918 F St NW,Washington,DC,20052-0042,T16,T16MC41741,41741,2021/06/01,2026/05/31,MCHB,Maternal and Child Health,"MCH Leadership, Education, and Advancement in Undergraduate Pathways Program (T16)",Eleanor Holmes Norton,District of Columbia,Not Determined,Not Determined,2024/11/04,"Corporate Entity, Federal Tax Exempt",43990498.0,-77.0443187,38.8973234
2023,The Rhode Island Department of Health,3 Capitol Hl,Providence,RI,02908-5034,H4N,H4NMC49274,49274,2023/07/01,2028/06/30,MCHB,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),Gabe Amo,Providence County,Jack Reed,Sheldon Whitehouse,2024/11/04,U.S. Government Entity,929922664.0,-71.41460153,41.83381019
2023,VA STATE BOARD OF HEALTH,109 Governor St,Richmond,VA,23219-3623,H18,H18MC00052,52,1993/10/01,2027/11/30,MCHB,Maternal and Child Health,MCHB State Systems Development Initiative (H18),Jennifer L. McClellan,Richmond City,Mark R. Warner,Tim Kaine,2024/11/04,U.S. Government Entity,809740459.0,-77.43225288,37.53738694
2023,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,104 Airport Dr STE 2200,Chapel Hill,NC,27599-5023,U7C,U7CMC33636,33636,2019/09/30,2024/12/31,MCHB,Maternal and Child Health,State Maternal Health Innovation Support and Implementation Program (U7C),Valerie P. Foushee,Orange County,Thom Tillis,Ted Budd,2024/11/04,Other,608195277.0,-79.05737658,35.93160041
2023,NEWARK COMMUNITY HEALTH CENTERS INC,741 Broadway,Newark,NJ,07104-4309,U1V,U1VMC46319,46319,2022/09/01,2027/08/31,MCHB,Maternal and Child Health,Catalysts for Infant Health Equity (U1V),Robert Menendez,Essex County,Robert Menendez,George S. Helmy,2024/11/04,"Corporate Entity, Federal Tax Exempt",108820416.0,-74.15890285,40.77538017
2023,NORTH DAKOTA DEPARTMENT OF HUMAN SERVICES,600 E Boulevard Ave,Bismarck,ND,58505-0601,U4C,U4CMC49930,49930,2023/09/30,2026/09/29,MCHB,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),Kelly Armstrong,Burleigh County,John Hoeven,Kevin Cramer,2024/11/04,U.S. Government Entity,802743534.0,-100.78213177,46.81989317
2023,GOVERNMENT OF GUAM- DEPARTMENT OF ADMINISTRATION,590 S Marine Corps Dr STE 219,Tamuning,GU,96913-3532,H33,H33MC06696,6696,2018/04/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),James C. Moylan,Guam,Not Determined,Not Determined,2024/11/04,U.S. Government Entity,778904292.0,144.76468314,13.47868202
2023,STATE OF MT DEPT HEALTH AND HUMAN SERVICES,2401 Colonial Drive,Helena,MT,59601-4980,X10,X10MC50312,50312,2023/09/30,2025/09/29,MCHB,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)","Matthew M. Rosendale, Sr.",Lewis and Clark County,Jon Tester,Steve Daines,2024/11/04,U.S. Government Entity,51659352.0,-111.99679669,46.58779676
2023,DEPARTMENT OF PUBLIC HEALTH AND SOCIAL SERVICES,123 Chalan Kareta,Mangilao,GU,96913,U4C,U4CMC49928,49928,2023/09/30,2026/09/29,MCHB,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),James C. Moylan,Guam,Not Determined,Not Determined,2024/11/04,U.S. Government Entity,855028700.0,144.79621177,13.43937243
2023,UNIVERSITY OF WASHINGTON,4333 Brooklyn Ave NE,Seattle,WA,98195-1016,U4D,U4DMC39438,39438,2020/09/01,2025/08/31,MCHB,Maternal and Child Health,Pregnancy Related Research Network (U4D),Pramila Jayapal,King County,Patty Murray,Maria Cantwell,2024/11/04,U.S. Government Entity,605799469.0,-122.31432916,47.66075141
2023,NEBRASKA DEPARTMENT OF HEALTH & HUMAN SERVICES,301 Centennial Mall S,Lincoln,NE,68508-2529,H33,H33MC07876,7876,2007/03/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),Mike Flood,Lancaster County,Deb Fischer,Pete Ricketts,2024/11/04,U.S. Government Entity,808819957.0,-96.69972264,40.81082791
2023,CHILDRENS HOSPITAL MEDICAL CENTER,3333 Burnet Ave,Cincinnati,OH,45229-3026,T77,T77MC49098,49098,2023/07/01,2028/06/30,MCHB,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program (T77),Greg Landsman,Hamilton County,Sherrod Brown,J. D. Vance,2024/11/04,"Corporate Entity, Federal Tax Exempt",71284913.0,-84.50043304,39.14091425
2023,RHODE ISLAND HOSPITAL,593 Eddy St,Providence,RI,02903-4923,T77,T77MC09797,9797,2008/07/01,2028/06/30,MCHB,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program (T77),Seth Magaziner,Providence County,Jack Reed,Sheldon Whitehouse,2024/11/04,"Corporate Entity, Federal Tax Exempt",75710996.0,-71.40716988,41.81111623
2023,UNIVERSITY OF TENNESSEE,Andy Holt Ave,Knoxville,TN,37996-4528,T79,T79MC09805,9805,2008/07/01,2028/06/30,MCHB,Maternal and Child Health,Maternal and Child Health Nutrition Training Program (T79),Tim Burchett,Knox County,Marsha Blackburn,Bill Hagerty,2024/11/04,U.S. Government Entity,3387891.0,-83.93431109,35.95116662
2023,The Rhode Island Department of Health,3 Capitol Hl,Providence,RI,02908-5034,X10,X10MC50327,50327,2023/09/30,2025/09/29,MCHB,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",Gabe Amo,Providence County,Jack Reed,Sheldon Whitehouse,2024/11/04,U.S. Government Entity,929922664.0,-71.41460153,41.83381019
2023,UNIVERSITY OF CONNECTICUT,438 Whitney Road Ext UNIT 1133,Storrs,CT,06269-1133,H17,H17MC52968,52968,2023/12/01,2026/02/28,MCHB,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),Joe Courtney,Capitol County,Richard Blumenthal,Christopher Murphy,2024/11/04,Other,614209054.0,-72.25085385,41.80460733
2023,STATEWIDE PARENT ADVOCACY NETWORK INC,35 Halsey St,Newark,NJ,07102-3047,H84,H84MC07997,7997,2007/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),LaMonica McIver,Essex County,Robert Menendez,George S. Helmy,2024/11/04,"Corporate Entity, Federal Tax Exempt",884994617.0,-74.1709375,40.74126729
2023,OKLAHOMA FAMILY NETWORK INC,800 NE 15th St STE 316,Oklahoma City,OK,73104-4602,H84,H84MC09368,9368,2008/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Stephanie I. Bice,Oklahoma County,James Lankford,Markwayne Mullin,2024/11/04,"Corporate Entity, Federal Tax Exempt",66869442.0,-97.49857065,35.48451732
2023,COOLEY'S ANEMIA FOUNDATION,330 7th Ave STE 200,New York,NY,10001-5279,U1A,U1AMC41739,41739,2021/06/01,2026/05/31,MCHB,Maternal and Child Health,Thalassemia (U1A),Jerrold Nadler,New York County,Charles E. Schumer,Kirsten E. Gillibrand,2024/11/04,"Corporate Entity, Federal Tax Exempt",68052596.0,-73.99324048,40.74771784
2023,"HEALTH, LOUISIANA DEPARTMENT OF",1450 Poydras St STE 1652,New Orleans,LA,70112-1227,U4A,U4AMC44242,44242,2021/09/30,2026/09/29,MCHB,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),Troy A. Carter,Orleans Parish,Bill Cassidy,John Kennedy,2024/11/04,U.S. Government Entity,14740455.0,-90.07778628,29.95083183
2023,COLORADO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,4300 Cherry Creek Dr S,Denver,CO,80246-1523,U7A,U7AMC46844,46844,2022/09/30,2027/09/29,MCHB,Maternal and Child Health,State Maternal Health Innovation Program (U7A),Diana DeGette,Arapahoe County,Michael F. Bennet,John W. Hickenlooper,2024/11/04,U.S. Government Entity,878208826.0,-104.93814547,39.70564487
2023,THE UNIVERSITY OF IOWA,105 Jessup Hall,Iowa City,IA,52242-1316,T73,T73MC00016,16,1993/10/01,2026/06/30,MCHB,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),Mariannette Miller-Meeks,Johnson County,Chuck Grassley,Joni Ernst,2024/11/04,U.S. Government Entity,62761671.0,-91.53646887,41.66244607
2023,EMERGENCY MEDICAL SERVICES REGULATORY BOARD,335 Randolph Ave STE 220,Saint Paul,MN,55102-5501,H33,H33MC06686,6686,2006/03/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),Betty McCollum,Ramsey County,Amy Klobuchar,Tina Smith,2024/11/04,U.S. Government Entity,113427954.0,-93.11330626,44.92873201
2023,"Health And Human Resources, West Virginia Department Of",350 Capitol St RM 702,Charleston,WV,25301-1757,U4A,U4AMC44256,44256,2021/09/30,2026/09/29,MCHB,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),Carol D. Miller,Kanawha County,"Joe Manchin, III",Shelley Moore Capito,2024/11/04,U.S. Government Entity,140779708.0,-81.63243621,38.35119614
2023,MY HEALTH MY RESOURCES OF TARRANT COUNTY,3840 Hulen St,Fort Worth,TX,76107-7277,U4A,U4AMC45817,45817,2022/09/30,2026/09/29,MCHB,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),Kay Granger,Tarrant County,John Cornyn,Ted Cruz,2024/11/04,U.S. Government Entity,20333597.0,-97.38724121,32.72264502
2023,OKLAHOMA DEPARTMENT OF MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES,2000 N Classen Blvd STE 600,Oklahoma City,OK,73106-6016,U2Z,U2ZMC46641,46641,2022/09/30,2027/09/29,MCHB,Maternal and Child Health,Infant-Toddler Court Program (U2Z),Frank D. Lucas,Oklahoma County,James Lankford,Markwayne Mullin,2024/11/04,U.S. Government Entity,933662934.0,-97.53113233,35.4897763
2023,THE REGENTS OF THE UNIVERSITY OF COLORADO,13001 E 17th Pl STE F428,Aurora,CO,80045-2571,H33,H33MC31619,31619,2018/04/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),Jason Crow,Adams County,Michael F. Bennet,John W. Hickenlooper,2024/11/04,U.S. Government Entity,41096314.0,-104.83760447,39.74509834
2023,The Rhode Island Department of Health,3 Capitol Hl,Providence,RI,02908-5034,U7A,U7AMC50518,50518,2023/09/30,2028/09/29,MCHB,Maternal and Child Health,State Maternal Health Innovation Program (U7A),Gabe Amo,Providence County,Jack Reed,Sheldon Whitehouse,2024/11/04,U.S. Government Entity,929922664.0,-71.41460153,41.83381019
2023,THE UNIVERSITY OF SOUTH DAKOTA,414 E Clark St,Vermillion,SD,57069-2307,U7E,U7EMC42170,42170,2021/08/01,2026/07/31,MCHB,Maternal and Child Health,Early Childhood Comprehensive Systems: Health Integration Prenatal to Three Program (U7E),Dusty Johnson,Clay County,John Thune,Mike Rounds,2024/11/04,U.S. Government Entity,929930808.0,-96.92656267,42.78252768
2023,JAMES R. CLARK MEMORIAL SICKLE CELL FOUNDATION,1420 Gregg St,Columbia,SC,29201-3528,D1J,D1JMC42473,42473,2021/09/01,2026/08/31,MCHB,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),James E. Clyburn,Richland County,Lindsey Graham,Tim Scott,2024/11/04,Other,167456946.0,-81.02381423,34.00818179
2023,MICHIGAN PUBLIC HEALTH INSTITUTE,"2436 Woodlake Cir, Ste 300",Okemos,MI,48864-6002,UG7,UG7MC28482,28482,2015/07/01,2027/06/30,MCHB,Maternal and Child Health,"National Fetal, Infant and Child Death Review Center Program (UG7)",Elissa Slotkin,Ingham County,Debbie Stabenow,Gary C. Peters,2024/11/04,"Corporate Entity, Federal Tax Exempt",809483670.0,-84.43964916,42.68070809
2023,MISSISSIPPI PUBLIC HEALTH INSTITUTE,5 Olympic Way,Madison,MS,39110-9008,U7A,U7AMC50514,50514,2023/09/30,2028/09/29,MCHB,Maternal and Child Health,State Maternal Health Innovation Program (U7A),Michael Guest,Madison County,Roger F. Wicker,Cindy Hyde-Smith,2024/11/04,"Corporate Entity, Not Federal Tax Exempt",78364611.0,-90.10640143,32.47292072
2023,"FLORIDA ASSOCIATION OF HEALTHY START COALITIONS, INC.",2002 Old Saint Augustine Rd STE E45,Tallahassee,FL,32301-4874,X10,X10MC50294,50294,2023/09/30,2025/09/29,MCHB,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",Neal P. Dunn,Leon County,Marco Rubio,Rick Scott,2024/11/04,"Corporate Entity, Federal Tax Exempt",796315971.0,-84.24661024,30.42610103
2023,DEPARTMENT OF BEHAVIORAL HEALTH AND DEVELOPMENTAL DISABILITIES,200 Piedmont Ave SE,Atlanta,GA,30334-9032,U4A,U4AMC53360,53360,2024/07/31,2025/09/29,MCHB,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),Nikema Williams,Fulton County,Jon Ossoff,Raphael G. Warnock,2024/11/04,U.S. Government Entity,965736635.0,-84.38662951,33.75020013
2023,OHIO DEPARTMENT OF HEALTH,246 N High St,Columbus,OH,43215-2406,H18,H18MC00039,39,1993/10/01,2027/11/30,MCHB,Maternal and Child Health,MCHB State Systems Development Initiative (H18),Mike Carey,Franklin County,Sherrod Brown,J. D. Vance,2024/11/04,U.S. Government Entity,808847933.0,-83.00161171,39.96719149
2023,MATERNAL & CHILD HEALTH CONSOR,30 W Barnard St STE 1,West Chester,PA,19382-1000,H17,H17MC48965,48965,2023/03/01,2028/02/29,MCHB,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),Chrissy Houlahan,Chester County,"Robert P. Casey, Jr.",John Fetterman,2024/11/04,"Corporate Entity, Federal Tax Exempt",137424672.0,-75.60336661,39.9572102
2023,UNIVERSITY OF MISSOURI SYSTEM,121 University Hall,Columbia,MO,65211-3020,T73,T73MC00022,22,1995/07/01,2026/06/30,MCHB,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),Blaine Luetkemeyer,Boone County,Josh Hawley,Eric Schmitt,2024/11/04,Other,153890272.0,-92.34303767,38.93735505
2023,DEPARTMENT OF PUBLIC HEALTH CONNECTICUT,410 Capitol Ave,Hartford,CT,06106-1367,H18,H18MC00007,7,1993/10/01,2027/11/30,MCHB,Maternal and Child Health,MCHB State Systems Development Initiative (H18),John B. Larson,Capitol County,Richard Blumenthal,Christopher Murphy,2024/11/04,U.S. Government Entity,807853791.0,-72.68967298,41.76377457
2023,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,3003 Health Center Dr,San Diego,CA,92123-2700,H17,H17MC45460,45460,2022/03/01,2027/02/28,MCHB,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),Sara Jacobs,San Diego County,Alex Padilla,Laphonza R. Butler,2024/11/04,"Corporate Entity, Federal Tax Exempt",166842232.0,-117.15634902,32.79785454
2023,VIRGINIA COMMONWEALTH UNIVERSITY,910 W Franklin St,Richmond,VA,23284-9004,U7A,U7AMC50521,50521,2023/09/30,2028/09/29,MCHB,Maternal and Child Health,State Maternal Health Innovation Program (U7A),Jennifer L. McClellan,Richmond City,Mark R. Warner,Tim Kaine,2024/11/04,U.S. Government Entity,105300446.0,-77.45276381,37.54946564
2023,UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CAMPUS,B622 MAIN BUILDING FLR 6,Mayagüez,PR,00935-0001,H33,H33MC06720,6720,2006/03/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),Jenniffer Gonzalez-Colon,San Juan Municipio,Not Determined,Not Determined,2024/11/04,U.S. Government Entity,948108063.0,-66.07372298,18.39543399
2023,"SICKLE CELL DISEASE ASSOCIATION OF AMERICA, PHILADELPHIA/DELAWARE VALLEY CHAPTER",5300 Wynnefield Ave FL 2,Philadelphia,PA,19131-2318,D1J,D1JMC42478,42478,2021/09/01,2026/08/31,MCHB,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),Dwight Evans,Philadelphia County,"Robert P. Casey, Jr.",John Fetterman,2024/11/04,"Corporate Entity, Federal Tax Exempt",604743930.0,-75.23134473,39.99174879
2023,UNIVERSITY OF MASSACHUSETTS LOWELL,"600 Suffolk Street, #450",Lowell,MA,01854-3629,R43,R43MC49154,49154,2023/07/01,2025/06/30,MCHB,Maternal and Child Health,Autism Secondary Data Analysis Program (R43),Lori Trahan,Middlesex County,Elizabeth Warren,Edward J. Markey,2024/11/04,U.S. Government Entity,956072490.0,-71.31618281,42.64932323
2023,GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION INC,58 Edgewood Ave NE FL 3,Atlanta,GA,30303-2921,T1C,T1CMC35356,35356,2020/06/01,2025/05/31,MCHB,Maternal and Child Health,Maternal and Child Health Public Health Catalyst Program (T1C),Nikema Williams,Fulton County,Jon Ossoff,Raphael G. Warnock,2024/11/04,"Corporate Entity, Federal Tax Exempt",837322494.0,-84.38702204,33.75451753
