Grantee Name,Grant #,HRSA Program Area,Program Name,Activity Code,Fiscal Year,Financial Assistance,County,State,DUNS #,UEI #
UNIVERSITY OF NEW MEXICO,H33MC07873,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Bernalillo County,NM,829868723,G389MFAYJNG9
"Health And Human Resources, West Virginia Department Of",H33MC11301,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Kanawha County,WV,140779708,YZ2HCE5SELE6
STATE OF GEORGIA DEPARTMENT OF PUBLIC HEALTH,H33MC23294,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Fulton County,GA,968217559,GUT1BFELPFJ1
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",H33MC31619,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Adams County,CO,041096314,MW8JHK6ZYEX8
Mary Hitchcock Memorial Hospital,H33MC32395,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Grafton County,NH,069910297,QYLXERHDAQL4
UNIVERSITY OF FLORIDA,H33MC48998,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Alachua County,FL,969663814,NNFQH1JAPEP3
University of Texas At Austin,H34MC33244,Maternal and Child Health,EMSC Targeted Issue Grants (H34),H34,2023,"$100,000.00",Travis County,TX,170230239,V6AFQPN18437
"SOUTHERN ILLINOIS HEALTHCARE FOUNDATION, INC.",H49MC00049,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,114.00",St. Clair County,IL,121756282,N7PJN47ZP3Z4
"ONONDAGA, COUNTY OF",H49MC00067,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$995,000.00",Onondaga County,NY,025345039,X5WAKLJQF317
CITY OF CLEVELAND,H49MC00082,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,116,840.00",Cuyahoga County,OH,884644881,R6LWW3MWGQQ1
COMMUNITY FOUNDATION FOR GREATER NEW HAV,H49MC00095,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,153,796.00",New Haven County,CT,072145410,MSLZX37M6DY3
"FAMILY ROAD OF GREATER BATON ROUGE, INC.",H49MC00107,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",East Baton Rouge Parish,LA,042627351,RW2JKFPKXA94
COMMUNITY HEALTH CENTERS OF OKLAHOMA,H49MC00125,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Oklahoma County,OK,020723409,P2PLT4K8DNE3
INTER-TRIBAL COUNCIL OF MICHIGAN INC,H49MC00131,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Chippewa County,MI,161220728,YJ5ELTTDBKM7
THE HEALTH & HOSPITAL CORPORATION OF MARION COUNTY,H49MC00138,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,144,441.00",Marion County,IN,052952058,K2E1CFMQNJ78
COUNTY OF FRESNO,H49MC00150,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$693,548.00",Fresno County,CA,556197655,GLP5PZLWSZE1
WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,H49MC00161,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Monongalia County,WV,191510239,M7PNRH24BBM8
"Fund for Public Health in New York, Inc.",H49MC04479,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",New York County,NY,167227789,SEA8ANNY16M5
"THE CENTER FOR HEALTH EQUITY, INC.",H49MC07500,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,158,801.00",Gadsden County,FL,136292278,LJNMNGN93696
"REACH UP, INC.",H49MC12793,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Hillsborough County,FL,783717270,DRZJS4EX4DU4
COUNTY OF INGHAM,H49MC24118,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Ingham County,MI,031875656,MNXZAXJQTMN6
COLORADO NONPROFIT DEVELOPMENT CENTER,H49MC27807,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$795,534.00",Denver County,CO,126352975,JWA8UFQKGUM4
CENTRAL MISSISSIPPI CIVIC IMPROVEMENT ASSOCIATION INC,H49MC27811,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Hinds County,MS,010397024,CYWJRXYGF1M1
GIFT OF LIFE FOUNDATION,H49MC27816,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,086,392.00",Montgomery County,AL,603653429,YYEMDJKNJL57
CHILDRENS HOSPITAL MEDICAL CENTER,H49MC27823,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Hamilton County,OH,071284913,JZD1HLM2ZU83
BIRMINGHAM HEALTHY START PLUS INC,H49MC27827,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,151,181.00",Jefferson County,AL,079229021,H7CGY5AKEZS1
"SGA Youth & Family Services, NFP",H49MC27838,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Cook County,IL,030896179,XT8HC2D9JZ25
"LOS ANGELES, COUNTY OF",H49MC32718,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Los Angeles County,CA,099446254,X5RGJVZ32FN6
University of Illinois,H49MC32722,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Cook County,IL,098987217,W8XEAJDKMXH3
UNION HOSPITAL INC,H49MC32727,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,091,055.00",Vigo County,IN,072075252,W1Y2MM9PREE5
COBB & DOUGLAS BOARD OF HEALTH,H49MC32731,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,072,066.00",Cobb County,GA,612931212,J77TNFH71XE1
ALBERT EINSTEIN COLLEGE OF MEDICINE,H49MC33241,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,120.00",Bronx County,NY,081266487,H6N1ZF5HJ2G3
"THE FAMILY TREE INFORMATION, EDUCATION, AND COUNSELING CENTER",H49MC52115,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,100,000.00",Lafayette Parish,LA,117419564,S9LLL76MGLM5
MISSISSIPPI STATE DEPARTMENT OF HEALTH,H49MC52119,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,100,000.00",Hinds County,MS,809399892,GHELM9ULN8A1
STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SERVICES,H49MC52123,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,100,000.00",Wake County,NC,809785363,DKT3LLBWFVL3
"Children's Hospital of Philadelphia, The",H4BHS15472,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$649,962.00",Philadelphia County,PA,073757627,G7MQPLSUX1L4
LOUISIANA STATE UNIVERSITY,H4BHS15487,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$338,022.00",Caddo Parish,LA,095439774,FA4VKPTJRLY8
GRADY MEMORIAL HOSPITAL CORPORATION,H4BHS15495,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$725,120.00",Fulton County,GA,961615700,SK32M9ZYA2M6
THE CHILDRENS HOSPITAL FOUNDATION INC,H4BHS15503,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$323,731.00",Jefferson County,KY,026683342,FJB5GDULJC53
CHILDRENS HOSPITAL OF WISCONSIN INC,H4BHS15507,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$424,225.00",Milwaukee County,WI,073847261,MHJMNSV6A7E8
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,H4BHS15528,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$174,186.00",Charlottesville City,VA,065391526,JJG6HU8PA4S5
UNIVERSITY OF FLORIDA,H4BHS15549,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$501,073.00",Alachua County,FL,969663814,NNFQH1JAPEP3
UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON,H4BHS15558,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$522,219.00",Galveston County,TX,800771149,MSPWVMXXMN76
HENNEPIN HEALTHCARE SYSTEM INC,H4BHS15563,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$520,684.00",Hennepin County,MN,120019070,HBQSGGJU1MG3
IOWA STATEWIDE POISON CONTROL CENTER,H4BHS15601,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$227,367.00",Woodbury County,IA,007462174,VWJHFXC28R15
PUERTO RICO POISON CENTER INC,H4BHS22662,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$265,188.00",Cidra Municipio,PR,142977177,MJ73SUMZTCN9
UNIVERSITY OF CONNECTICUT HEALTH CENTER,H4BHS33384,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$266,253.00",Hartford County,CT,022254226,H6D6JMXJXDE6
University of South Carolina,H4BHS45171,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$346,223.00",Richland County,SC,041387846,J22LNTMEDP73
DEPARTMENT OF PUBLIC HEALTH CONNECTICUT,H4NMC49255,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),H4N,2023,"$345,000.00",Hartford County,CT,807853791,RFZKKT5RU3F8
"HEALTH RESEARCH, INC.",H4NMC49259,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),H4N,2023,"$345,000.00",Albany County,NY,153695478,LQK1DD1EYZK9
INDIANA STATE DEPARTMENT OF HEALTH,H4NMC49263,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),H4N,2023,"$345,000.00",Marion County,IN,824799407,GXFMGZLP95D9
OHIO DEPARTMENT OF HEALTH,H4NMC49267,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),H4N,2023,"$344,996.00",Franklin County,OH,808847933,CLN8VY9APLQ5
STATE OF GEORGIA DEPARTMENT OF PUBLIC HEALTH,H4NMC49271,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),H4N,2023,"$345,000.00",Fulton County,GA,968217559,GUT1BFELPFJ1
UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,H4NMC49275,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),H4N,2023,"$345,000.00",Worcester County,MA,603847393,MQE2JHHJW9Q8
VIRGIN ISLANDS DEPT OF HEALTH GROUP,H4NMC49338,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),H4N,2023,"$345,000.00",St. Thomas,VI,167269765,HC9KX4GNNPK6
IDAHO DEPARTMENT OF HEALTH & WELFARE,H61MC00010,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$310,000.00",Ada County,ID,825201486,WP92EVJB9HF9
MINOT STATE UNIVERSITY,H61MC00028,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$310,000.00",Ward County,ND,803882174,YNBSQ9LG4D87
MINNESOTA DEPARTMENT OF HEALTH,H61MC00035,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$310,000.00",Ramsey County,MN,804887321,DHQVY2WCVHC5
STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SERVICES,H61MC00043,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$202,079.00",Wake County,NC,809785363,DKT3LLBWFVL3
OKLAHOMA STATE DEPARTMENT OF HEALTH,H61MC00051,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$235,000.00",Oklahoma County,OK,143673015,LFU8Z8MPLTG3
MICHIGAN HEALTH AND HUMAN SERVICES,H61MC00056,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$235,000.00",Ingham County,MI,113704139,C2AQVDYYUAS7
TENNESSEE DEPARTMENT OF HEALTH,H61MC00066,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$235,000.00",Davidson County,TN,172636268,EA5JN3P55GR1
MARYLAND DEPARTMENT OF HEALTH,H61MC00081,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$135,000.00",Baltimore City,MD,143148679,J5L2LBJK8RB8
"HEALTH, NEW MEXICO DEPARTMENT OF",H61MC04397,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$235,000.00",Santa Fe County,NM,782914170,HG44Y3KS4JP6
STATE OF GEORGIA DEPARTMENT OF PUBLIC HEALTH,H61MC22706,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$211,162.00",Fulton County,GA,968217559,GUT1BFELPFJ1
VIRGIN ISLANDS DEPT OF HEALTH GROUP,H61MC23642,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$220,219.00",St. Thomas,VI,167269765,HC9KX4GNNPK6
UNIVERSITY OF HAWAII,H61MC24884,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$235,000.00",Honolulu County,HI,965088057,NSCKLFSSABF2
COMMONWEALTH HEALTHCARE CORPORATION,H61MC30523,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$153,762.00",Saipan Municipality,MP,854858560,J9ANMNJ3QJM6
NorCal Services for Deaf and Hard of Hearing,H61MC33904,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$310,000.00",Sacramento County,CA,113798409,K714L6KSUC29
UNIVERSITY OF WISCONSIN SYSTEM,H6MMC30387,Maternal and Child Health,State Implementation Grants for Improving Services for Children and Youth with ASD (H6M),H6M,2023,"$360,000.00",Dane County,WI,161202122,LCLSJAGTNZQ7
Vanderbilt University Medical Center,H6MMC33236,Maternal and Child Health,State Implementation Grants for Improving Services for Children and Youth with ASD (H6M),H6M,2023,"$360,000.00",Davidson County,TN,079917897,GYLUH9UXHDX5
REGENTS OF THE UNIVERSITY OF MICHIGAN,H17MC32706,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$36,117.00",Washtenaw County,MI,073133571,GNJ7BBP73WE9
PRISMA HEALTH - UPSTATE,H17MC32710,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Greenville County,SC,077990745,DML4HJNAFE44
EGYPTIAN PUBLIC & MENTAL HEALTH DEPARTMENT,H17MC33888,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Saline County,IL,112426812,F7WPMLNECAM3
Skagit County Public Hospital District No 304,H17MC33894,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Skagit County,WA,966993433,MB17JWA1NBX3
"FAMILY, INC.",H17MC40189,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$49,999.00",Pottawattamie County,IA,826506995,LYKHKFZ24DL6
"University Of California, Los Angeles",H17MC40193,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Los Angeles County,CA,092530369,RN64EPNH8JC6
BRONXCARE HEALTH SYSTEM,H17MC45455,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Bronx County,NY,073258493,ECGULUPKJCT4
Sharp Mary Birch Hospital For Women And Newborns,H17MC45460,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$49,955.00",San Diego County,CA,166842232,GCPMATRYAKG3
"GENETICS SUPPORT FOUNDATION, INC. DBA GENETIC SUPPORT FOUNDATION",H17MC48963,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Thurston County,WA,,R7JVXC5C2888
"Orlando Health, Inc.",H17MC48967,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Orange County,FL,082406638,RYM9N2TN82U4
STATE OF ALASKA DEPARTMENT OF HEALTH,H18MC00002,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Juneau Borough,AK,809386543,LNQNF7PKBV13
DEPARTMENT OF PUBLIC HEALTH CONNECTICUT,H18MC00007,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Hartford County,CT,807853791,RFZKKT5RU3F8
IDAHO DEPARTMENT OF HEALTH & WELFARE,H18MC00013,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Ada County,ID,825201486,WP92EVJB9HF9
"HEALTH & FAMILY SERVICES, KENTUCKY CABINET FOR",H18MC00020,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Franklin County,KY,927049767,LECJQDCLHVE5
"PUBLIC HEALTH, MASSACHUSETTS DEPARTMENT OF",H18MC00024,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Suffolk County,MA,878298900,DLKMR1QVDX34
MISSOURI DEPARTMENT OF HEALTH & SENIOR SERVICES,H18MC00028,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Cole County,MO,878092600,UETLXV8NG8F4
NEW HAMPSHIRE DEPARTMENT OF HEALTH & HUMAN SERVICES,H18MC00033,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$98,349.00",Merrimack County,NH,011040545,LA2HR1U97VC6
STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SERVICES,H18MC00037,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Wake County,NC,809785363,DKT3LLBWFVL3
"HUMAN SERVICES, OREGON DEPARTMENT OF",H18MC00041,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Marion County,OR,878144021,HFJRBHKCBPR5
SOUTH DAKOTA DEPARTMENT OF HEALTH,H18MC00046,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Hughes County,SD,809587710,J84PKUEWQ6Y5
HUMAN SERVICES VERMONT AGENCY OF,H18MC00051,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$42,085.00",Washington County,VT,809376155,YLQARK22FMQ1
"HEALTH SERVICES, WISCONSIN DEPARTMENT OF",H18MC00057,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Dane County,WI,036448835,CG2SZ7HCNV54
PALAU MINISTRY OF HEALTH,H18MC00065,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Koror State,PW,854813003,XBK8DJ4UV3D3
VIRGIN ISLANDS DEPT OF HEALTH GROUP,H18MC23554,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$50,000.00",St. Thomas,VI,167269765,HC9KX4GNNPK6
COMMONWEALTH HEALTHCARE CORPORATION,H18MC30112,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$98,223.00",Saipan Municipality,MP,854858560,J9ANMNJ3QJM6
Icahn School of Medicine at Mount Sinai,H30MC24048,Maternal and Child Health,Hemophilia Treatment Centers (SPRANS) (H30),H30,2023,"$477,567.00",New York County,NY,078861598,C8H9CNG1VBD9
"Lehigh Valley Hospital, Inc.",H30MC48960,Maternal and Child Health,Hemophilia Treatment Centers (SPRANS) (H30),H30,2023,"$500,000.00",Lehigh County,PA,068572015,HNLGJQZLSWQ8
"HEALTH, WASHINGTON STATE DEPARTMENT OF",H33MC06683,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Thurston County,WA,808883128,C16SP2HBR123
UNIVERSITY OF OKLAHOMA,H33MC06689,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Oklahoma County,OK,878648294,GY8NMUZQXVS7
NEVADA DEPARTMENT OF HEALTH AND HUMAN SERVICES,H33MC06694,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Carson City,NV,625364849,F99FYNEGXSH9
NORTH DAKOTA DEPARTMENT OF HEALTH AND HUMAN SERVICES,H33MC06698,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Burleigh County,ND,067976824,U4BCQ8P144P6
CHILDREN'S NATIONAL MEDICAL CENTER,H33MC06715,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",District of Columbia,DC,606977783,SHMTBW88LZB5
UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CAMPUS,H33MC06720,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",San Juan Municipio,PR,948108063,KWTAB1GYM4L9
VIRGIN ISLANDS DEPT OF HEALTH GROUP,H33MC06725,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$184,774.00",St. Thomas,VI,167269765,HC9KX4GNNPK6
MISSISSIPPI STATE DEPARTMENT OF HEALTH,H33MC06731,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Hinds County,MS,809399892,GHELM9ULN8A1
Executive Office Of The Governor Of Delaware,H33MC07872,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Kent County,DE,103989187,GKQPH6J32LN7
NEBRASKA DEPARTMENT OF HEALTH & HUMAN SERVICES,H33MC07876,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Lancaster County,NE,808819957,HKQDEXRXGKL1
BAYLOR COLLEGE OF MEDICINE,H33MC11305,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$164,995.00",Harris County,TX,051113330,FXKMA43NTV21
Vanderbilt University Medical Center,H33MC31540,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Davidson County,TN,079917897,GYLUH9UXHDX5
UNIVERSITY OF MISSOURI SYSTEM,H33MC31623,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Boone County,MO,153890272,SZPJL5ZRCLF4
RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL,H33MC48997,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Franklin County,OH,147212963,EYMJXLN2MFB4
OREGON HEALTH & SCIENCE UNIVERSITY,H34MC33243,Maternal and Child Health,EMSC Targeted Issue Grants (H34),H34,2023,"$100,000.00",Multnomah County,OR,096997515,NPSNT86JKN51
"KALAMAZOO, COUNTY OF",H49MC00047,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Kalamazoo County,MI,020906988,FGQYA2KMEK67
"South Carolina Office of Rural Health, Inc.",H49MC00062,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Lexington County,SC,944156694,XCUEC8D53NH5
PRISMA HEALTH-MIDLANDS,H49MC00072,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,157,121.00",Richland County,SC,009035853,KQ3QX9AHQY76
SHIELDS FOR FAMILIES,H49MC00094,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$995,000.00",Los Angeles County,CA,136274870,TCXPNHFF5K62
CITY OF SAN ANTONIO,H49MC00101,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$995,000.00",Bexar County,TX,066428400,LC5QCFLLCDJ4
LAURENS COUNTY BOARD OF HEALTH,H49MC00122,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Laurens County,GA,143060593,LVGHJ57K5M58
COUNTY OF ALAMEDA,H49MC00130,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Alameda County,CA,786370577,TFLFDLQZRF94
HEALTH CARE COALITION OF SOUTHERN OREGON,H49MC00136,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Jackson County,OR,112548677,EDH9NASJNSU3
"GENESEE, COUNTY OF",H49MC00148,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$995,000.00",Genesee County,MI,619259146,E2J4KM8YBZJ9
TOUGALOO COLLEGE,H49MC00158,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Madison County,MS,072618572,XELUC5A4AJQ7
COREWELL HEALTH,H49MC03591,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Kent County,MI,047593173,LDABZVFUKNS3
LOUISVILLE-JEFFERSON COUNTY METRO GOVERNMENT,H49MC07306,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,128,388.00",Jefferson County,KY,112110577,XTABXRBBAUB1
COUNTY OF SEDGWICK,H49MC11254,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$768,078.00",Sedgwick County,KS,056577166,U78SNHE76SE3
UNIVERSITY OF MIAMI,H49MC18123,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,063,252.00",Miami-Dade County,FL,052780918,F8THLJQSAF93
COMMUNITY SERVICE COUNCIL OF GREATER TULSA,H49MC27806,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Tulsa County,OK,164638207,WLG9SQ4N4WQ1
"THE FAMILY TREE INFORMATION, EDUCATION, AND COUNSELING CENTER",H49MC27810,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Lafayette Parish,LA,117419564,S9LLL76MGLM5
NEWARK COMMUNITY HEALTH CENTERS INC,H49MC27814,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Essex County,NJ,108820416,LBRYYVT467J5
